"id","source_id","location_diller","vin","city_fuel","hwy_fuel","make","model","trim","year","body_type","odometer","fuel","condition","driveline","exterior_color","interior_color","engine","engine_size","engine_cylinders","passengers","price","images","transmission","airbags","options","seating_capacities","status","schema_mark","schema_models","schema_vin","schema_year","schema_color_body","schema_body_type","schema_number_doors","schema_transmission","schema_engine_type","schema_price"
"1239","","Auto Quest Group 56 Toro Rd North York, Ontario M3J 2A8","1N4AL3AP8FN316031","8.7L/100Km","6.2L/100Km","Nissan","Altima","4 Cylinder FWD","2015","","214045","Gas","used","FWD","Grey","Black","4 Cylinder","2.5L","","5","79998888","https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-01693d02ca497792c18ad468d631e0b0.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-411d15abb6eb4ee283f4b568a03dc914.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-f55fa1eb5dd01f559fc6fa511805de61.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-52bed3db64fabd116184976bf8a5f9f3.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-fb57692ca2c71fe7f7af6aeeadf0f3f4.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-88c6e16172f4dfbd3f9738ad34a92ee9.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-10ee293cb7e720942c645f2e4d793ccb.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-7852feda34af927d225a33f84b27eab4.jpg","Automatic","","ABS Brakes|Air Conditioning|AM/FM Stereo|Automatic Headlight|Backup Camera|CD Player|Climate Control|Cloth Interior|Cruise Control|Cup Holder|Daytime Running Lights|Digital Clock|Driver Side Airbag|Dual impact Airbags|Entertainment System|Fog Lights|Heated Exterior Mirrors|Keyless Entry|Low Tire Pressure Warning|Passenger Airbag|Power Locks|Power Mirrors|Power Steering|Power Windows|Power-Assist Disc Brakes|Rear Window Defroster|Satellite Radio|Side Airbag|Tilt Steering|Tinted Glass|Traction Control|Trip Odometer","5","active","Nissan","Altima","1N4AL3AP8FN316031","2015","Grey","","4","Automatic","Internal Combustion","79998888"
"1236","","Auto Quest Group 56 Toro Rd North York, Ontario M3J 2A8","1FMCU9GD2HUC15698","10.7L/100Km","8.3L/100Km","Ford","Escape","4 Cylinder FWD","2017","","173703","Gas","used","FWD","Orange","Black","4 Cylinder","1.5L","","5","13999","https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-4a9b789bc20d50387e158cb14590184f.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-1f52c3734a2c2f963bd802531e82dc56.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-2f1fcf37c88dddc8ed07ac23bbbdcb30.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-f750cdc30d803c00ae90035a12b9bd65.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-831cbfbe6b342b3b2e0dfd578b18a926.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-7d7e68a811fa7317f0df77b9d87a1e55.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-a2a1951908d865d2aa60bc8f4c6bf8ad.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/10/pic-890b6acb9b859bc80fdc208893b7be80.jpg","Automatic","","ABS Brakes|Air Conditioning|Alloy Wheels|AM/FM Stereo|Automatic Headlight|Backup Camera|Bluetooth|Climate Control|Cloth Interior|Cruise Control|Cup Holder|Daytime Running Lights|Driver Side Airbag|Dual impact Airbags|Fog Lights|Low Tire Pressure Warning|Multi-Zone A/C|Navigation System|Parking Sensor|Passenger Airbag|Power Locks|Power Mirrors|Power Steering|Power Windows|Rear Window Defroster|Rear Windows Wiper|Satellite Radio|Side Airbag|Tilt Steering|Traction Control|Trip Odometer","5","active","Ford","Escape","1FMCU9GD2HUC15698","2017","Orange","","4","Automatic","Internal Combustion","13999"
"1242","","Auto Quest Group 56 Toro Rd North York, Ontario M3J 2A8","1VWAA7A30JC018482","9.3L/100Km","6.5L/100Km","Volkswagen","Passat","4 Cylinder FWD","2018","","62750","Gas","used","FWD","White","Black","4 Cylinder","2.0L","","","16888","https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-8ec9bbc679e7c96e9f660e1b51a8f02d.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-9c8e5b57121ba413cccbe9b625e1b903.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-0e9b0d18530833d15da275271566a073.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-9a8e46575fa3e437c4ff95c49754a4f6.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-818bafa414ba4ee9fd1e21a76ede6f2b.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-66a1fbe1dba0c638ecb094392e0bffbc.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-ee0cdf9c163e1ae3a76c60380a789f2c.jpg","Automatic","","ABS Brakes|Air Conditioning|Alloy Wheels|AM/FM Stereo|Automatic Headlight|Backup Camera|Bluetooth|CD Player|Climate Control|Cruise Control|Cup Holder|Daytime Running Lights|Digital Clock|Driver Side Airbag|Dual impact Airbags|Entertainment System|Heated Exterior Mirrors|Heated Seats|Keyless Entry|Low Tire Pressure Warning|Passenger Airbag|Power Locks|Power Mirrors|Power Steering|Power Windows|Power-Assist Disc Brakes|Rear Window Defroster|Side Airbag|Tinted Glass|Traction Control|Trip Odometer","","active","Volkswagen","Passat","1VWAA7A30JC018482","2018","White","","4","Automatic","Internal Combustion","16888"
"1243","","Auto Quest Group 56 Toro Rd North York, Ontario M3J 2A8","2GNFLEEK9D6379450","10.1L/100Km","6.9L/100Km","Chevrolet","Equinox","4 Cylinder AWD","2013","","160000","Gas","used","AWD","Black","Black","4 Cylinder","2.4L","","5","9999","https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-38aa6be0bc3bf4f225ecc49cf51452cb.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-6cdb355030d5eb96cfe0f76e6f4f8d9a.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-b345beb01c10e325e4b44d285b06c190.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-9b946df221a111730d9ee091f2efc5f0.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-c884eac0a258bd12df7825ccc5055ac3.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-fceb76b4592af4faa5f0a877670fb91e.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-b219cad95ef1b801cc8b61658f1253c2.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-d5ff5b9de6e4cd92893bb6ddcef53b16.jpg","Automatic","","Air Conditioning|Alloy Wheels|AM/FM Stereo|Automatic Headlight|CD Player|Climate Control|Cruise Control|Cup Holder|Daytime Running Lights|Driver Side Airbag|Dual impact Airbags|Keyless Entry|Low Tire Pressure Warning|Power Locks|Power Mirrors|Power Seat|Power Steering|Power Windows|Power-Assist Disc Brakes|Rear Window Defroster|Rear Windows Wiper|Side Airbag|Tinted Glass|Traction Control|Trip Odometer","5","active","Chevrolet","Equinox","2GNFLEEK9D6379450","2013","Black","","4","Automatic","Internal Combustion","9999"
"1248","","Auto Quest Group 56 Toro Rd North York, Ontario M3J 2A8","4USFE83527LY66867","15.9L/100Km","10.2L/100Km","BMW","X5","8 Cylinder AWD","2007","","220303","Gas","used","AWD","Gray","Black","8 Cylinder","4.8L","","5","6999","https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-86d8e9adedda2447e0cdf7762f17521d.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-3af6498021cdd269ec8e2cfd3c331398.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-b5c60768269b0d44c59155bb23bd6d3a.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-c6aa9547263773a32f81e48cc8db649c.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-ec20984f9fb41ee3a1b2adcb22e08051.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-cd8f26b1ff87cc374daba03253974ef5.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-20e43ab8980d972229a26494f07a5f1f.jpg","Automatic","","3rd Row Seating|ABS Brakes|Air Conditioning|Alloy Wheels|AM/FM Stereo|Auto Dimming Mirrors|Automatic Headlight|Backup Camera|Center Arm Rest|Child-Safety Locks|Climate Control|Cruise Control|Cup Holder|Daytime Running Lights|Digital Clock|Driver Side Airbag|Dual impact Airbags|DVD Player|Entertainment System|Fog Lights|Folding Rear Seat|Heated Exterior Mirrors|Heated Seats|Leather Seats|Leather Steering Wheels|Low Tire Pressure Warning|Memory Seat|Parking Sensor|Passenger Airbag|Power Mirrors|Power Seat|Power Windows|Rear Window Defroster|Remote Trunk Release|Side Airbag|Sunroof/Moonroof|Tilt Steering|Traction Control|Trip Odometer|Xenon Headlights","5","active","BMW","X5","4USFE83527LY66867","2007","Gray","","4","Automatic","Internal Combustion","6999"
"1252","","Auto Quest Group 56 Toro Rd North York, Ontario M3J 2A8","5NPE24AF8JH696668","9.8L/100Km","6.9L/100Km","Hyundai","Sonata","4 Cylinder FWD","2018","","15440","Gas","used","FWD","Black","Black","4 Cylinder","2.4L","","5","17999","https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-2b7f611581712c803c8c8f92b2e4c9be.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-eaa6474cd7ee8c6df0438e6f7c83475c.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-3622f1c773718d16bb917c1e2cd8108d.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-415d3ed4f06cda777127722ce88e8159.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-ef98eba43fe8a64a4f427ce7b201bc35.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-13784659fad66ce57bbf08255c48ffb3.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-3bcc7dff6e42706c1002b2e16cfdc2ce.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-1c895a192a26a4e99991f4d55443f000.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-b03479ec3af638d3f38b06974114a070.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-4baba57950e927d930445e35c782754b.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-c20b72f38d1d210a2d964b200a13d465.jpg","Automatic","","ABS Brakes|Air Conditioning|Alloy Wheels|AM/FM Stereo|Automatic Headlight|Backup Camera|Bluetooth|CD Player|Cloth Interior|Cruise Control|Cup Holder|Daytime Running Lights|Digital Clock|Driver Side Airbag|Entertainment System|Fog Lights|Heated Exterior Mirrors|Heated Seats|Leather Steering Wheels|Passenger Airbag|Power Locks|Power Mirrors|Power Windows|Rear Window Defroster|Remote Trunk Release|Side Airbag|Tinted Glass|Traction Control|Trip Odometer","5","active","Hyundai","Sonata","5NPE24AF8JH696668","2018","Black","","4","Automatic","Internal Combustion","17999"
"1253","","Auto Quest Group 56 Toro Rd North York, Ontario M3J 2A8","1G1JC5SH1E4111208","8.3L/100Km","5.5L/100Km","Chevrolet","Sonic","4 Cylinder FWD","2014","","73927","Gas","used","FWD","Blue","Black","4 Cylinder","1.8L","","5","8900","https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-e8abbbec54d8d7ca6c2bb5d0b20fad82.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-7933df0799c81d42c569c5e705232074.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-037be2007ce4f2ed9c9c0f3f50120afe.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-366f813c28cf8a90ba52ca61c974d807.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-07dc0a84dfaebfeea5ab15b0698050b1.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-a139d7a7c060a0cbe6eca5809b0aba0d.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-199c2adceae0551dcd5b9380fe0e4531.jpg","Automatic","","ABS Brakes|Air Conditioning|AM/FM Stereo|CD Player|Cruise Control|Cup Holder|Daytime Running Lights|Digital Clock|Driver Side Airbag|Passenger Airbag|Power Locks|Power Mirrors|Power Steering|Power Windows|Rear Window Defroster|Remote Trunk Release|Satellite Radio|Side Airbag|Traction Control|Trip Odometer","5","active","Chevrolet","Sonic","1G1JC5SH1E4111208","2014","Blue","","4","Automatic","Internal Combustion","8900"
"1256","","Auto Quest Group 56 Toro Rd North York, Ontario M3J 2A8","WBANW53598CT48105","14L/100Km","9.1L/100Km","BMW","5 Series","8 Cylinder RWD","2008","","195793","Gas","used","RWD","Dark Grey","Black","8 Cylinder","4.8L","","","89999999","https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-346b78547421ee770549eb954d7434ee.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-f5adbf1ae9da922a3c36899bc3d15ac3.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-dabc7c7082eded4d39ae33599aeaf2ed.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-e28ddb4022fe593fc9fd0e554f37b13e.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-1b0c72502e55e360ca6389e8690967ab.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-2b18f35412983a66cafe796912a644ec.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-3e342ca8828d5a85ef0676dbd990b52d.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-d9f98af3d7fa8562444393156500abee.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-100b0f031bcfca8fc7c3928462869627.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-7ae292124abd4d92522da5163d8c481d.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-d6da02305dc5e4ee8bb4de930cb4e07f.jpg","Automatic","","ABS Brakes|Alloy Wheels|AM/FM Stereo|Auto Dimming Mirrors|Center Arm Rest|Child-Safety Locks|Climate Control|Cruise Control|Cup Holder|Daytime Running Lights|Driver Side Airbag|Electronic  Stability Control|Heated Exterior Mirrors|Heated Seats|Keyless Entry|Leather Seats|Leather Steering Wheels|Memory Seat|Parking Sensor|Passenger Airbag|Power Locks|Power Mirrors|Power Seat|Power Steering|Power Windows|Remote Trunk Release|Sunroof/Moonroof|Traction Control|Trip Odometer|Wood Trim Interior|Xenon Headlights","","active","BMW","5 Series","WBANW53598CT48105","2008","Dark Grey","","4","Automatic","Internal Combustion","89999999"
"1263","","Auto Quest Group 56 Toro Rd North York, Ontario M3J 2A8","5NPE24AF5GH270123","9.4L/100Km","6.5L/100Km","Hyundai","Sonata","4 Cylinder FWD","2016","","64734","Gas","used","FWD","White","Black","4 Cylinder","2.4L","","","12999","https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/05/pic-aa764f23276c76f07e13f7a66e0be69b.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/05/pic-b406255c21d17fe25a0b8cb3f9b61bb6.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/05/pic-f8ec78ee213d30540f6afb174585283a.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/05/pic-d92810d8dd40fa4106318a12f2ed1f42.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/05/pic-b6caef2a34880804dba15a4463dbf3c6.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/05/pic-941cab5afb47bb86e6a6b11f3e00dd21.jpg","Automatic","","ABS Brakes|Air Conditioning|Alloy Wheels|AM/FM Stereo|Backup Camera|Bluetooth|CD Player|Cruise Control|Cup Holder|Digital Clock|Driver Side Airbag|Entertainment System|Heated Exterior Mirrors|Keyless Entry|Passenger Airbag|Power Locks|Power Mirrors|Power-Assist Disc Brakes|Rear Window Defroster|Tinted Glass|Traction Control|Trip Odometer","","active","Hyundai","Sonata","5NPE24AF5GH270123","2016","White","","4","Automatic","Internal Combustion","12999"
"1262","","Auto Quest Group 56 Toro Rd North York, Ontario M3J 2A8","WBAWR33549P460160","13.8L/100Km","8.7L/100Km","BMW","3 Series","6 Cylinder RWD","2009","","127978","Gas","used","RWD","White","Beige","6 Cylinder","3.0L","","5","13888","https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/09/pic-dd4c3a36e29ab2c0a05d250878e09bee.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/03/pic-8a738b4212270b6cb0008cf1c22ca5c4.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/03/pic-d8c62feb202f3949e65bb4fd37d5189b.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/03/pic-8ff13700dc119545e6eda19ebdd359cd.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/03/pic-8dd33192449cf45392c9cbdad13c8a5a.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/03/pic-c92c3d47499c2312121212421af4e9b8.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/03/pic-64beb6411033ad80c77641884bc9080a.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/03/pic-d99f9b93ba3df33bb8f38704dbc41a19.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/03/pic-c7d34cf12d8a47b0d8d19bef3b9d8239.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/03/pic-3bfe9145f17ba804341ba43d1ef6eb2f.jpg,https://autobunny-docs.s3.ca-central-1.amazonaws.com/1098/car/forsale/images/2020/03/pic-af13ec5c1ecce59567d01150a0621103.jpg","Automatic","","ABS Brakes|Alloy Wheels|AM/FM Stereo|CD Player|Center Arm Rest|Cruise Control|Cup Holder|Entertainment System|Folding Rear Seat|Heated Exterior Mirrors|Keyless Entry|Leather Seats|Leather Steering Wheels|Memory Seat|Passenger Airbag|Rain Sensor Wipers|Satellite Radio|Tilt Steering|Traction Control|Xenon Headlights","5","active","BMW","3 Series","WBAWR33549P460160","2009","White","","2","Automatic","Internal Combustion","13888"
